sqlitebrowser.Anger,sqlitebrowser.Sadness,sqlitebrowser.Fear,sqlitebrowser.Joy,sqlitebrowser.Comments,
0,0,0,0.1,"thanks for your reply. well, as you see in my text i actually did repeat the experiment (without changing the browser version), but then everything worked. my theory is that my behavior, when adding the ""on delete cascade"" was slightly different between the two attempts. so even if i would try again, it is unlikely that i would be able make it happen again, even on my installed version. i do have an idea though what could have caused it, and it is connected to my own behavior. during the first attempt (after which the problem occurred) i did not understand that i had to press the enter key (or put the cursor at another line) after writing ""on delete cascade"". i thought i could just press save. so after pressing save i remember that i was surprised that my ""on delete cascade"" had not been saved. so i went back and typed it in again, and i think i went back and forth like this for a couple of times before i realized that i had to set the cursor at another line, before pressing save. later on i realized that instead of setting the cursor at another line one can also press the enter key, but in my case i used the method of setting the cursor at another line.  i should perhaps add that on my second attempt, working on the restored backup, i knew how to make it save properly, so i did it the right way immediately. and when i did that no problems occurred afterwards.",
0,0,0,0.1,"hm, i have reinstalled it to 3.9.1 and back to 3.10.1. and now this issue is missing in 3.10.1.",
0,0,0,0.2,"@mkleusberg, i checked nightly build at 16 jan 2018. the application no longer crashes. thanks! 😄",
0,0,0,0.1,thank you!,
0,0,0,0.2,"why oh why haven't i requested this before... 🤦‍♂️  thanks a lot, this save me a lot of formatting!",
0,0,0,0,"sure, this issue can be closed.",
0,0.1,0,0,"hi sorry for the long reply and thanks for all the comments.yes, i was simply looking for a way to insert a row at a certain place, because as you all say a newly inserted row hits the bottom.i have used the sort column to do this, i am databasing some coins and they have dates, but also have a numbering system that unfortunately isn't numerical. this results in the inability to add a new row (for a new coin), and sort it so that the date and reference are in the correct place.i understand that this may just be the way things are, but thought i'd ask :)  would i then be able to sort by two columns in the ui?my numbering system is quite simple, 100, 101, 102, 102a, 102b, 103, 104, 104a, 104b, 104c  ....|index|index_2||---|---||101|||102|||102|a||102|b||103|||104|||104|a|",
0,0,0,0,cent os 7 x64i used the 1708 everything iso minimal install plus server gui packages,
0,0.4,0,0,"my apologies for coming too late to the party.the feature looks great. unfortunately i don't have a use case right now, but sure i will in the coming future. thanks!",
0,0,0,0.2,this fixes the issue! thank you for the quick response! please add this fix to the next stable version.,
0,0,0,0.6,"nice job, @justinclift! shall i try the windows builds tomorrow?  thanks @justinclift",
0,0,0,0.2,"hey, it seems unrelated, or at least it's not a bug :)however, you could add support to sort by multiple columns in future ;)",
0,0,0,0,i working on not have internet envirment. when i open it. show tip message. close it  then application don't use.,
0,0,0,0.3,"thanks @chrisjlocke  - didn't realize the wiki was there for documentation, and the ""="" exact match works great.  appreciate you taking the time to help me out.",
0,0,0,0,"i have just tested it, and it seems to work as expected on windows 7: the whole pane background is grey.as a reminder, previously i was seeing it as so:> (fwiw, the pane looks like the ""non read-only mode"": on first draw the pane has a white background and the text has a grey background, which disappears after i click in the pane)",
0,0,0,0,+1```[qwabra@n5110 ~]$ sqlitebrowser -vthis is db browser for sqlite version 3.10.1.[qwabra@n5110 ~]$  cat /etc/fedora-releasefedora release 27 (twenty seven)[qwabra@n5110 ~]$ gnome-shell --versiongnome shell 3.26.2```,
0,0,0,0,"hi chris and justin,the effected database files are local files, no networking involved. the students were not keeping backups of their files, unfortunately. for the mean time i'll direct students to the nightly build without encryptionnext time we have class, i'll get the students to try running otool. for what it's worth, here is the output on my machine, but i haven't run into the error myself. i notice that i don't have libsqlite3.0.dylib as you do, justin, but libsqlcipher.0.dylib> otool -l /applications/db\ browser\ for\ sqlite.app/contents/macos/db\ browser\ for\ sqlite/applications/db browser for sqlite.app/contents/macos/db browser for sqlite:	@executable_path/../frameworks/libsqlcipher.0.dylib (compatibility version 9.0.0, current version 9.6.0)	/usr/lib/libsystem.b.dylib (compatibility version 1.0.0, current version 1238.0.0)	/system/library/frameworks/carbon.framework/versions/a/carbon (compatibility version 2.0.0, current version 157.0.0)	@rpath/qtprintsupport.framework/versions/5/qtprintsupport (compatibility version 5.7.0, current version 5.7.1)	@rpath/qtwidgets.framework/versions/5/qtwidgets (compatibility version 5.7.0, current version 5.7.1)	@rpath/qtgui.framework/versions/5/qtgui (compatibility version 5.7.0, current version 5.7.1)	@rpath/qtcore.framework/versions/5/qtcore (compatibility version 5.7.0, current version 5.7.1)	/system/library/frameworks/diskarbitration.framework/versions/a/diskarbitration (compatibility version 1.0.0, current version 1.0.0)	/system/library/frameworks/iokit.framework/versions/a/iokit (compatibility version 1.0.0, current version 275.0.0)	@rpath/qtmacextras.framework/versions/5/qtmacextras (compatibility version 5.7.0, current version 5.7.1)	@rpath/qtnetwork.framework/versions/5/qtnetwork (compatibility version 5.7.0, current version 5.7.1)	/system/library/frameworks/opengl.framework/versions/a/opengl (compatibility version 1.0.0, current version 1.0.0)	/system/library/frameworks/agl.framework/versions/a/agl (compatibility version 1.0.0, current version 1.0.0)	/usr/lib/libc++.1.dylib (compatibility version 1.0.0, current version 307.4.0)",
0,0,0,0.2,"> thanks for raising this issue though, rather than abandoning the software! interesting you're using it in a class environment.no worries! db4s has a straightforward interface. once the students get a primer on what a database is, they don't have much trouble learning the environment. it's a great tool and i'm very happy to be able to use it.> is this reproducible? a new database is created, table added, fields added, database closed, and the database is 'encrypted' when next opened?it would be handy to see what would happen if a 'known to be ok' database was opened and saved on one of the troublesome machines.i've never reproduced it on my machine, but next time i see one of the students with a currupted database i'll get them to run otool and we'll try to reproduce the error. we'll also try to pass them a database that i made on my machine as well as try the nightly without encryption. you'll have to forgive me while i make you wait for a few days though, because i don't see my students every day.thank you again for your advice!",
0,0,0,0.7,"hi @justinclift, fantastic job! i'm able to connect and browse the repos.very neat, thank you!",
0,0,0,0.4,"hi chris,that's an interesting idea.it would be helpful to know if the database was indeed encrypted. if it is, then switching to the nightly without sqcipher should do the trick.i don't think there are any issues with posting the suspect database in this thread so if it's all the same do you, i'll just attach it here (zipped to get it attached to the message).cheers!david[internal assessment.db.zip](https://github.com/sqlitebrowser/sqlitebrowser/files/1709342/internal.assessment.db.zip)",
0,0.8,0,0,that's too bad. i'm sorry i wasn't able to get you the information you needed to solve this problem. next year i'll try recommending the nightly build without encryption features to my students and we'll see what comes of it. in the mean time i just wanted to say thank you to you and justin for an awesome piece of software!,
0,0,0,0,agree about foldable. that's a better solution than i suggested.,
0,0,0.1,0,"you can use the 3rd parameter to `sqlite3_load_extension` like i did [here](https://github.com/requery/sqlite-android/pull/53/files) to get a moreverbose error message. my problem is probably wrong abi or something alongthose lines. thanks for the help. i'll see if i can take a look at theextension loading code here.  actually, it looks like the thing to do would be to just load the rightfilename only by seeing which filename us a real file first.  yeah - saw that. also not seeing where the alternative filename is tried.there's only one call for load:https://github.com/sqlitebrowser/sqlitebrowser/blob/1110b87d95108f3f01430f7e05aec4c9e7ebc628/src/mainwindow.cpp#l1888on feb 15, 2018 11:52 am, ""manuel"" <notifications@github.com> wrote:> you can use the 3rd parameter to sqlite3_load_extension like i did [here](>> that is what are already doing to get the error message:>>     char* error;>     if(sqlite3_load_extension(_db, extensionname.toutf8(), nullptr, &error) == sqlite_ok)>     {>         return true;>     } else {>         lasterrormessage = qstring::fromutf8(error);>         sqlite3_free(error);>         return false;>     }>> —> you are receiving this because you were mentioned.> reply to this email directly, view it on github> <https://github.com/sqlitebrowser/sqlitebrowser/issues/1290#issuecomment-366042146>,> or mute the thread> <https://github.com/notifications/unsubscribe-auth/aakwby8jbitgrwc0g5bsbceiodptus9rks5tviszgajpzm4ram6e>> .>",
0,0.2,0,0,"hi,initially i used the create tab but then noticed it in ""browse data"", bothdon't work.on 16 feb 2018 17:07, ""manuel"" <notifications@github.com> wrote:> @shaun-ba <https://github.com/shaun-ba>, if you are refering to the> 'execute sql' tab, you can use the button with tooltip 'save the results> view' to save the results as an sql view and then you will be able to> follow the instructions in #141 (comment)> <https://github.com/sqlitebrowser/sqlitebrowser/issues/141#issuecomment-301131415>> to update that view from the 'browse data' tab. let us know if that works> for you, please.>> —> you are receiving this because you were mentioned.> reply to this email directly, view it on github> <https://github.com/sqlitebrowser/sqlitebrowser/issues/1320#issuecomment-366296742>,> or mute the thread> <https://github.com/notifications/unsubscribe-auth/adl1qwuer879jqpiijpguayngen0ag2vks5tvbxvgajpzm4sikac>> .>  i'm on 3.10.99 but this paste isn't working ?  i believe i installed using the ppa```sudo apt-cache policy sqlitebrowsersqlitebrowser:  installed: 3.10.100ubuntu1-0~1709~201709212204~ubuntu16.04.1  candidate: 3.10.100ubuntu1-0~1709~201709212204~ubuntu16.04.1  version table: *** 3.10.100ubuntu1-0~1709~201709212204~ubuntu16.04.1 500        500 http://ppa.launchpad.net/linuxgndu/sqlitebrowser/ubuntu xenial/main amd64 packages        100 /var/lib/dpkg/status     3.7.0-1 500        500 http://gb.archive.ubuntu.com/ubuntu xenial/universe amd64 packages```",
0,0,0,0,seems related to #516,
0,0,0,0.1,yes thanx.,
0,0,0,0.1,thank you for understanding.,
0,0,0,0.1,"thanks for the speedy response. i did try the latest (version 3.10.99 (feb 25 2018)), and here's what i saw:i opened my database, and could see the the tables & views. (see screen shot below).click/select a table and all four buttons are enabled: create table, create index, modify table, delete table.click/select a view, and three of the four buttons are enabled - the one that's dimmed is ""modify view"" note, too, that the dropdown has that menu item dimmed as well.please let me know if i can provide further info. thanks.![db browser-modify view dimmed](https://user-images.githubusercontent.com/1094930/36646013-af21781e-1a3f-11e8-8287-e0339304c7cd.png)",
0.1,0,0,0,"i am not saying i know the best way forward either. however if we rely on standard package managers with linux and i notice we have a homebrew cask (`brew cask install db-browser-for-sqlite`) for macos then the real issue is windows updates. do you agree, or is there something else or something missing? i do get that each of these take some effort but in principle, they work.",
0,0,0,0.6,"just tested. looks great, thank you! this will save me some data conversions. :)",
0,0,0,0.3,sqlitebrowser 3.10.1-1.1 woks fine on debian sid![screenshot from 2018-02-28 11-05-44](https://user-images.githubusercontent.com/180812/36769683-779af092-1c78-11e8-890f-205f1bd2f1c3.png),
0,0,0,0,here is current master head 3277174cb1ac734842ebdac0e49e3f2ff903d653![screenshot from 2018-03-01 08-04-19](https://user-images.githubusercontent.com/180812/36821801-5d89c05c-1d27-11e8-8e8d-dbd76da0d39c.png),
0,0,0,0.2,thank you for all your answers.,
0,0,0,0,agree about the use default option. i tried defining default as null and doing an import and saw that the default wasn't used.,
0,0.1,0,0,"sorry for the delay and the extensions i meant wans't for sqlite but for db browser itself, in the configuration settings has an extension tab where you can select dlls.i'm coding with qt for a while and i'm currently trying to understand how to plugin system works and i saw that db browser implements it somehow and i wanted to understand how so i could help here maybe with something but i couldn't find any extension to import there.",
0,0,0,0,"hi @justinclift ,in order to store internal data in any android application, we need to use a sqlite db. apart of using this db, we need to generate classes such as contract (you can know more about this topic here: [https://developer.android.com/training/data-storage/sqlite.html](url)).it would interesting that this tool automatically generates the additional classes to be used in any android application by installing plugins into it and use them. for example: ""generating android classes from this schema"" would be a good 👍 best regards.",
0,0,0,0,are you open for a patch to make this change?,
0.4,0,0,0,interestingly the behavior matches sqlite3's `.import` command. but i agree that it's a terrible default.,
0,0,0,0.7,"well, well, you're my man  ;-)",
0,0,0.1,0,"from what i understand, the default is added if you don't specify the field at all in the statement, so there would need to be more than one prepared statement to do this. therefore it is more complex than the case i already added.  i personally like the option of having it fail if my data has unexpected nulls, or if my table has an unexpected not null. it's easy enough to select a different option in the import or remove that not null constraint, and i definitely wouldn't want things to happen silently.i can actually see myself selecting the ""import as null"" option to import data into a not null column when i don't expect missing values.  > it's already a useful addition but ideally it should also work for non-existing tables.seems like i completely skipped over that `if` block, i can add that.  the situation when creating a new table is somewhat weird, e3e2e81a is my attempt. it will insert nulls if that's what was selected, and otherwise will stick to the current behavior; however i'm not sure about that behavior.",
0,0.2,0,0,hi! i tried nightly build just before creating this issue and i did it again right now - this bug is still present (in _about_ this build is `version 3.10.99 (mar 18 2018)`),
0,0,0,0.4,that did the trick! i appreciate the assistance.,
0,0.2,0,0.1,"hello justin,thank you very much for a so quick response.yes it's with the new version i have the problem.and when i start db browser for sqlite, i have an error message, it can' connect to https://raw.githubusercontent.com/sqlitebrowser/sqlitebrowser/master/currentrelease. host raw.githubusercontent.com not foundand while a few minutes, it's very very slow unless it hangs.what means ""t nuked"", i haven't found it in a translator. and i haven't found where are the emoticonsthank you.",
0,0,0,0,"ok for the error message.for the first problem, i used :create table transparence as	select f100, f200, f201, f202a, f202b, f202c, f109, sum (f106) from dip	group by f200, f109with the previous version sum (f106) was a real column. with the last one, it's a text column. then i use this instruction to get around the problem :create table transparence as	select f100, f200, f201, f202a, f202b, f202c, f109, cast (sum (f106) as real) from dip	group by f200, f109even if now the column is named cast (sum (f106)) or something like that.i can do a screenshot of the new result but not for the previous one.thank you :-) .  ok. as i haven't installed all my tools on all ""my"" pc as db browser for sqlite, i have to wait monday to respond. i shall examine the parameters but if i change ""text"" to ""real"", it will be annoying to have all the columns with ""real"". with the previous version, it kept the same definitions than the original table, what is fine.",
0.2,0,0,0,"hum, i don't see my last response. i said i begin with sql tables, i don't know what is a view, i'm going to see it.for the question about the default field type, there is ""integer"". then it's a little surprising.thank you.  ok, thank you, and i can see you haven't specified ""sum(ap_id)"" is a real column. that was my first question.",
0.1,0,0,0,could `checkversion` be set to `false` by default? it admin installed this on my machine and i cannot find `software\sqlitebrowser\sqlitebrowser\checkversion` so assume it is hidden in an admin folder someplace,
0,0,0,0.2,"@chrisjlocke understood, resolved now after i read up on the registry editor.cheers",
0,0,0,0,@chrisjlocke i'll try the nightly build later.,
0,0.2,0.1,0,"@chrisjlocke i'm now using ""version 3.10.99 (mar 28 2018)""i still don't see the ability to edit the view?  hi, i see this option yes, but would never guess to right click the column heading in view! not sure why there is even a need for this option to be honest.  perfect, it works so thanks!  just to add to this feature, i can't add a new record so still can't use it for intended purpose.if you remember from an old issue you helped me on, i want to be able to view and edit the db whilst sorting via 2 columns, this is the overall aim here.  so why have the option at all, and greyed out. less confusing to remove it if it's not possible?  confusing for the user to put it in the ui, just comment in code instead!i'm trying to be constructive, the app is brilliant :)  weirdly i made another view and it works, the sql is the same between the new and old one so not sure what's up there but it now works!",
0,0,0,0,@justinclift > any chance of a pr with the needed fix? 😄what happened to this code?https://github.com/sqlitebrowser/sqlitebrowser/pull/1061/filesi cannot find it in this repository anymore.,
0,0.1,0,0,"@ranaalisaeed i also just tried and i cannot get it to work. i made sure to use the 64 bit plugin for the 64 bit version of db browser. i copied the files under ""c:\program files\db browser for sqlite"" and i am also getting the ""error loading extension"" error.",
0.1,0,0,0.1,"@justinclift why using a copy of qtscintilla?for freebsd, thanks to @adriaandegroot , we using ""external"" version (from pkg/ports) and it works.",
0.1,0,0,0,"@chrisjlocke i do not see a way to execute the needed functions in the exe that you provided. i have a friend that uses sqlcipher to migrate and decrypt the database i'm talking about but he does it on linux, so i know for certain that sqlcipher can decrypt it, i just don't know how to successfully build it for windows. i do not know how the cerod db was encrypted, i only know that the commands i listed are how to get it into a readable state.  @justinclift i will try what you said and see if that works out for me. i was somewhat confused on the last step of the walk-thru though because it goes from the nmake commands to compile sqlcipher and jumps into what seems like a totally different subject about db4s",
0.4,0,0,0,"double clicking on it doesn't seem to do anything, tried multiple spots :(",
0,0,0,0,"are the toolbar/window settings saved elsewhere on the filesystem?  i removed `~/library/preferences/com.sqlitebrowser.sqlitebrowser.plist` again and this didn't fix it, so i did this https://support.apple.com/en-us/ht204063 and now my toolbar has reset, happy days<img width=""571"" alt=""screenshot at apr 18 17-06-33"" src=""https://user-images.githubusercontent.com/35221979/38944104-ec12fcca-432a-11e8-9a1a-4cb8090b389f.png"">",
0,0,0,0.2,"thanks justinclift,with 3.10.99 nightly version, the problem is solved. but windows 10 alert me on smartscreen that the binary file could be insecure. i am waiting that this version may be stable sooner...thanks for all, great job...  thanks chrisjlocke... i got it!!!",
0,0,0,0.1,"i just did this morning, i was going to give up and i thought, wait let me just copy libeay32.dll from another location into the folder with the compiled sqlcipher and see if it works and sure enough it does. as long as you follow your initial walk thru using the exact versions that you used and afterwards manually copy in the libeay32.dll then everything works perfectly and i am able to perform an in place upgrade and decrypt the database... now i just have to figure out how to use sqlcipher in my windows service to perform these actions on that database i the fly 🤔.this is an awesome project you have going here, thank you so much!",
0,0.1,0,0,"i forgot the point about the process limitations, my apologies. i can write my own little gui, no problem. thanks for your time.",
0,0,0,0,"i think i will let you work on the third option @mkleusberg, as i'm not sure i will be able to get to it for a while.",
0,0,0.2,0,"there haven't been any new updates to the project since 28th of march, so all builds post that date have been redundant, right?  this is the latest commit i see on master:https://github.com/sqlitebrowser/sqlitebrowser/commit/85dbe7b01686f31a22cf3ce141e258801da986e8that's where i got the 28 march date.",
0,0.1,0.1,0.1,thanks for your reply. sorry for the late response. today i have contacted the sqlcipher support to get it resolve.[see link](https://discuss.zetetic.net/t/file-is-encrypted-or-is-not-a-database-sqlite-c/2814),
0,0,0,0,"hi, i have this version installed on my mac (macos 10.13.4): version 3.10.0qt version 5.7.1sqlcipher version 3.15.2i install the latest build, and check if the bug exists.",
0,0,0,0.4,"awesome!after the (week or two?) switch, i strongly encourage you to activate hsts, to definitively get rid of the mitm risk.  > hsts is looked badly upon these days as it makes things fragile, and extremely difficult to recover from if something goes wrongi think you meant hpkp (public key pinning): https://community.letsencrypt.org/t/hpkp-support-tool/61227/5the only ""risk"" with hsts is if you want to roll-back to http, you have to wait the max-age period. (and if you use the includesubdomains options, you must ensure that all the subdomains, and not only the first level of subdomains works with https)of course, if you **preload** hsts, then it's a more serious commitment, and it's can't be undone.details:https://www.troyhunt.com/understanding-http-strict-transport/https://www.tunetheweb.com/blog/dangerous-web-security-features/",
0,0.6,0,0,"the search for another issue was pretty frugal, sorry",
0,0.3,0,0,"hello again,i did update to the version suggested but none of the issues reported in my initial reference seem to have been resolved. i hope they will in a future release.thank you.",
0,0,0,0,"@karim it's probably not intentional. this file was published by the usda in an excel .xls format - it must have been an oversight when they created it. i'm using libreoffice calc, and i saved it as a csv so i could import it into the database. most files produced by the us government use fips or geoid codes to uniquely identify places like states and counties, and in many cases these codes have leading zeros. the file in this particular example is small, but potentially you could have census data tables with hundreds of thousands of records (so it would be slow to load these tables and then overwrite them).",
0,0,0,0,@karim @revolter thanks for the reply. there was a new line at the beginning of the string that i didn't catch :(the paste of invalid data had no validation or warning of error which made be believe paste was broken.this issue is no longer a bug. maybe a suggestion for one day?,
0,0,0,0,"hii'm doing some tests, and it seems that changing the table encoding isn't taken into account when exporting. maybe this issue could be resolved by using the encoding set by the user when doing an export?",
0,0,0,0,"this is my use case. this is what i see when opening the database:![imagen](https://user-images.githubusercontent.com/8122137/40163751-efeb0844-59b7-11e8-8219-bc7b90ddee57.png)after changing all tables to iso-8859-15 i can see the characters correctly and also edit them:iso-8859-15![imagen](https://user-images.githubusercontent.com/8122137/40163853-376ae43c-59b8-11e8-8da7-0531c0fd24ae.png)next, i try to export the table to csv (or sql), this is what i get (checked on notepad++ and excel):```0,gen�rico,0,,0,9,1,1,1,,,0,540,ffvm.mdb,2018-03-28 07:52:321,rucula primaflor,1,,0,18,3,,0,,,1,1,ffvm.mdb,2018-03-28 07:52:312,fresa 2�,2,,13,1,3,1,0,,,2,1562,ffvm.mdb,2018-03-28 07:52:35```so i think the export function doesn't take into account the codepage previously selected.  @justinclift , i think that's not the case, i tried to change (not convert) the codepage on notepad++ to iso-8859-15:```0,genï¿œrico,0,,0,9,1,1,1,,,0,540,ffvm.mdb,2018-03-28 07:52:321,rucula primaflor,1,,0,18,3,,0,,,1,1,ffvm.mdb,2018-03-28 07:52:312,fresa 2ï¿œ,2,,13,1,3,1,0,,,2,1562,ffvm.mdb,2018-03-28 07:52:35```also, when exporting without changing the codepage, i get the same symbols.  i was testing with 3.10.1. i've done same tests with latest nightly. this is what i see when opening the same table:![imagen](https://user-images.githubusercontent.com/8122137/40170563-fe7eb7be-59c8-11e8-8bac-a3d31bd06a5b.png)changing the codepage to iso-8859-15 allows me to view and edit the blows.exporting produces the same output (with the original codepage, and changing it to iso-8859-15).",
0,0,0,0,you probably want to fix the number of days for a leap year [here](https://github.com/sqlitebrowser/sqlitebrowser/pull/1390/files#diff-af3b638bc2a3e6c650974192a53c7291r5) ,)
0.1,0,0,0,"macos 10.13.2db browser for sqlite 3.10.1qt version 5.7.1sqlcipher version 3.15.2  note:  the reason i'm getting the unique constraint error is that the primary key column doesn't have `not null` on it (my bad).  so once the first row's key is null'ed out, attempts to null out the key in subsequent rows fail.  still an issue![image](https://user-images.githubusercontent.com/164050/40271692-a8f657dc-5b55-11e8-8045-c4911239bd2d.png)![image](https://user-images.githubusercontent.com/164050/40271701-c3ee7e34-5b55-11e8-9eac-d600274ece2f.png)",
0,0,0.1,0,"hmm i think the dbs were actually cleared, wal or no :( i'll keep an eye out some more, but actually i don't understand why db4s would be doing anything with the .wal files, isn't all that sqlite's domain?",
0,0.2,0,0,"no problem! sorry i couldn't take care of the rest of the concerns here,",
0,0,0,0.6,"looks great! thanks team.this is my first look at the nightly build versions. i like the other changes i noticed: all caps for the suggested sql commands, in the ""execute sql"" tab moving ""save as csv/view"" to the tool bar. do you have a new official release planned?",
0,0,0,0.3,"sure thing, happy to do more testing. let me know where to download this one-off build when it's ready. it sounds like you're saying it's different than the nightly builds.",
0,0,0,0.1,"ok it built! my mistake was to create ""vs2013 native tools command prompt"" within visual studio and apparently it was not right one. i didn't see that you already pointed out that the file was under c:\program files (x86)\microsoft visual studio 12.0\common7\tools\shortcutsthanks!  i can't find an openssl installer like in that wiki. all i find is either source or a zip file containing 3 binary files in it. could you put a link to where you downloaded it maybe? https://github.com/sqlitebrowser/sqlitebrowser/wiki/win64-setup-%e2%80%94-step-4-%e2%80%94-install-openssl",
0,0,0,0,"i've tried out the [one-off osx build](https://nightlies.sqlitebrowser.org/osx-onceoffs/db%20browser%20for%20sqlite_issue1394v1.dmg). i loaded a large data set (~500k lines). i saw the significant improvements in responsiveness in switching to the ""browse data"" tab and improvements when i scrolled and jumped to an arbitrary place in the listings. i didn't see any weirdness.",
0,0,0,0,"@mkleusberg : thanks, i will post it in right place. this `""data source=:memory:;mode=memory;cache=shared"" ` connection string is not working.  @mkleusberg : please suggest the link where i can post this question.  thanks for the support.i was using `system.data.sqlite` namespace which doesn't supports that. changing it to a namespace `using microsoft.data.sqlite;`  allows me to access memory db.",
0,0,0,0,"i think the option to disable automatic type detection would satisfy many use cases. if you have a file without any fields that have leading zero values, the autodetect is a nice option for importing everything correctly. if you have a small to medium size file (in terms of number of fields) that has a field with leading zeros, you can turn off the autodetect, and after import you can modify the types one by one (to convert text columns to integer or real).a use case where this would not work: you have a really large file with an id field that has leading zeros, and then a ton of columns that are mostly numeric. turn autodetect on, and the zeros are dropped from the id column and you need to recreate it. turn autodetect off, and you would have to modify the data types of the ton of columns one by one. the work around for this case would be to create a blank table with the same fields as the csv and the correct types 1st, and then import the csv into that table 2nd (by providing the blank table name at import). this takes some work, but is not unreasonable or unheard of. are there any instances when you would *not* want a field with leading zero values saved as text? in the case of zip / fips /  hex values you always want to preserve the zeros. but in other cases zeros may be used as padding to fill a field out to a certain length, and in those cases it's desirable to drop them. ultimately, i think providing the option to enable / disable autodetect is useful. it's nice to have the choice :smile: @mkleusberg  thanks! i just tested the nightly build on ubuntu and the option works as intended :smile:  leave autodetect on and columns are read in as text or integers depending on value (leading zeros dropped from id). go to advanced and turn autodetect off, all columns are read in as text.",
0,0,0,0,"hi, i added screenshot to original post. my version is 3.10.99 as mentioned in description but info page shows no build date or any other relavant information  after some more testing it seems that only fk causes the issue, now i've been able to add and move columns with triggers in place. i'd swear it did not worked for me before, but can't reproduce it currently. fk=on however throws the mentioned error",
0,0,0,0,"@justinclift i have no need of multiple versions. the instructors are also unlikely to use different versions from what our learners would be using, since that would be confusing for them.the best option would be everyone using the 'stable' version, but advocating the use of a nightly build could be possible if we need a specific fix or feature (but the only one we know helps for our lesson is #1349).",
0,0,0,0,i can't say about the installer at the link you listed (i would assume it is the one)i just download lazarus from this link http://www.lazarus-ide.org/and get the option in the screen shot.,
0,0,0,0.2,"i downloaded  the new build, and i am now able to export after filtering. thank you!",
